ID,Language,Source Text,Translated Text,Contributed,Contribution Status,Contribution Document Name,Context
j66br9b735,zh,Status,状态,0,,,
j66f3g4qlj,zh,Activity,操作动态,0,,,
j66op8bfsb,zh,Email,发送邮件,0,,,
j6621bsbi6,zh,Print,打印,0,,,
j66enf7lcq,zh,Delete,删除,0,,,
j66rg739c1,zh,Duplicate,复制,0,,,
j667gatd4p,zh,Actions,操作,0,,,
j65r83e4ge,zh,Amend,修改/重开,0,,,
j65s8rjav1,zh,Cancel,作废,0,,,
j65c58tgh3,zh,Submit,提交,0,,,
j659htimt4,zh,Saved,已保存,0,,,
j6501qr40q,zh,Not Saved,未保存,0,,,
j65h79smrb,zh,Upload,上传,0,,,
j65k61g9io,zh,Download,下载,0,,,
j65hb8gluo,zh,Add multiple,批量添加,0,,,
j65oc0piqs,zh,Add row,添加行,0,,,
j65urar2ps,zh,Add Row,添加行,0,,,
j65sk4v7vm,zh,add,添加,0,,,
j65tofqrd8,zh,Add,添加,0,,,
j65vkpfnjb,zh,create,创建,0,,,
j655s7gatd,zh,Create,创建,0,,,
j65gu3fkgj,zh,save,保存,0,,,
j64l3r329j,zh,Save,保存,0,,,
,zh,"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in the batch {0} or in the Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","
			物料 {1} 的批次 {0} 在仓库 {2}{3} 中出现负库存。
			请补充库存数量 {4} 后再继续此单据。
			如果无法进行库存调整，请在批次 {0} 或“库存设置”中启用“允许批次负库存”后继续。
			但启用该设置可能导致系统出现负库存。
			请尽快调整库存数量，以确保计价率正确。",0,,,
,zh, Phantom Item, 虚拟物料,0,,,
,zh,% Complete must be between 0 and 100,完成百分比必须在 0 到 100 之间,0,,,
,zh,% Cost Allocation,成本分摊 %,0,,,
,zh,'Verification Link Expiry Duration' must be between 15 to 60 minutes.,“验证链接有效期”必须在 15 到 60 分钟之间。,0,,,
,zh,+ Add Price,+ 添加价格,0,,,
,zh,1 invoice,1 张发票,0,,,
,zh,"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.",<b>无法创建资产。</b><br><br>您正尝试从 {2} {3} 创建 <b>{0} 个资产</b>。<br>但仅采购了 <b>{1} 个物料</b>，且 {5} 已关联 <b>{4} 个资产</b>。,0,,,
,zh,<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>第 {0} 行：</b>仓库 {2} 中的套件 {1} 所需包装物料不足：<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,0,,,
,zh,"<div style=""margin-bottom:10px; color: var(--gray-500) !important;"">Define alternate units for this item. Eg: 1 Box = 12 Nos, set conversion factor as 12. (Will also apply for variants) <a href=""https://docs.frappe.io/erpnext/uom"" target=""_blank"">Learn more &#8594;</a></div>","<div style=""margin-bottom:10px; color: var(--gray-500) !important;"">为此物料定义替代计量单位。例如：1 箱 = 12 个，则换算系数设为 12。（同样适用于变体） <a href=""https://docs.frappe.io/erpnext/uom"" target=""_blank"">了解更多 &#8594;</a></div>",0,,,
,zh,"<li>Packed Item {0}: Required {1}, Available {2}</li>",<li>包装物料 {0}：需要 {1}，可用 {2}</li>,0,,,
,zh,"<span class=""h4""><b>Subcontracting Inward and Outward</b></span>","<span class=""h4""><b>委外入库与委外出库</b></span>",0,,,
,zh,A disabled Product Bundle cannot be selected in transactions.,已禁用的产品套件不能用于交易。,0,,,
,zh,A draft reverse journal for {0} has been created: {1},已为 {0} 创建草稿状态的冲销日记账凭证：{1},0,,,
,zh,A few quick questions so we can set things up the way you work.,请回答几个简单问题，以便按您的业务方式完成设置。,0,,,
,zh,A little about you,关于您,0,,,
,zh,A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,创建序列号时发生命名序列冲突。请修改物料 {0} 的命名序列。,0,,,
,zh,A new fiscal year has been automatically created.,已自动创建新的会计年度。,0,,,
,zh,A Period Closing Voucher is already submitted and an Opening Entry can no longer be created. {0} to learn more.,期间结账凭证已提交，无法再创建期初分录。{0}了解更多。,0,,,
,zh,A quality inspection must be completed before generating a Delivery Note for this item.,为此物料生成交货单前必须完成质量检验。,0,,,
,zh,A quality inspection must be completed before generating a Purchase Receipt for this item.,为此物料生成采购收货单前必须完成质量检验。,0,,,
,zh,A separate Purchase Order is created for each Supplier.,系统会为每个供应商分别创建采购订单。,0,,,
,zh,A verified appointment cannot be moved back to 'Unverified' status.,已验证的预约不能恢复为“未验证”状态。,0,,,
,zh,Accept Matching Rule,接受匹配规则,0,,,
,zh,Accept the rule for the selected transaction,接受所选交易的匹配规则,0,,,
,zh,Accepting the suggestion will reconcile both transactions.,接受此建议将同时完成两笔交易的对账。,0,,,
,zh,Account / customer numbers assigned to your companies by this supplier (for reconciliation on their statements),该供应商为您的公司分配的账户号/客户编号，用于核对供应商对账单。,0,,,
,zh,Account Category,科目类别,0,,,
,zh,Account Category Name,科目类别名称,0,,,
,zh,Account company does not match with the rule company.,科目所属公司与规则中的公司不一致。,0,,,
,zh,Account Data,科目数据,0,,,
,zh,Account Detail Level,科目明细层级,0,,,
,zh,Account is mandatory,科目为必填项,0,,,
,zh,Account is required,必须填写科目,0,,,
,zh,"Account to track value added to stock via Stock Entry, Stock Reconciliation or Landed Cost Voucher",用于记录通过库存凭证、库存盘点或到岸成本凭证计入库存的价值。,0,,,
,zh,Account where cost of goods sold will be posted when this item is sold,销售此物料时，用于记入销售成本的科目。,0,,,
